"name","plataform","metascore","metascore_reviews","metascore_norm","metascore_cat","release","genre","genero_principal","exclusivo","tipo_score"
"DiRT 4","PlayStation 4",85,44,8.5,"ALTO",2017-06-06,"Racing/Simulation/Automobile","Racing",0,"metascore"
"428: Shibuya Scramble","PlayStation 4",85,19,8.5,"ALTO",2018-09-04,"Action Adventure/General","Action Adventure",1,"metascore"
"Gone Home: Console Edition","PlayStation 4",85,11,8.5,"ALTO",2016-01-12,"Adventure/3D/First-Person","Adventure",1,"metascore"
"Ni no Kuni II: Revenant Kingdom","PlayStation 4",84,84,8.4,"ALTO",2018-03-23,"Action RPG/Role-Playing/Japanese-Style","Action RPG",1,"metascore"
"Statik","PlayStation 4",84,18,8.4,"ALTO",2017-04-24,"Adventure/3D/First-Person","Adventure",1,"metascore"
"Valkyria Chronicles Remastered","PlayStation 4",84,58,8.4,"ALTO",2016-05-17,"Strategy/Turn-Based/Tactics","Strategy",1,"metascore"
"F1 2018","PlayStation 4",84,41,8.4,"ALTO",2018-08-24,"Racing/Simulation/Automobile","Racing",0,"metascore"
"Kingdom Hearts HD I.5 + II.5 Remix","PlayStation 4",84,35,8.4,"ALTO",2017-03-28,"Miscellaneous/Compilation","Miscellaneous",1,"metascore"
"Middle-earth: Shadow of Mordor","PlayStation 4",84,85,8.4,"ALTO",2014-09-30,"Fantasy/Action Adventure/Fantasy/Open-World","Fantasy",0,"metascore"
"Guilty Gear Xrd -SIGN-","PlayStation 4",84,33,8.4,"ALTO",2014-12-16,"Action/Fighting/2D","Action",1,"metascore"
"BlazBlue: Central Fiction","PlayStation 4",84,22,8.4,"ALTO",2016-11-01,"Action/Fighting/2D","Action",1,"metascore"
"Salt and Sanctuary","PlayStation 4",84,56,8.4,"ALTO",2016-03-15,"Action/Platformer/2D","Action",0,"metascore"
"Dark Souls Remastered","PlayStation 4",84,53,8.4,"ALTO",2018-05-25,"Role-Playing/Action RPG","Role-Playing",0,"metascore"
"Day of the Tentacle Remastered","PlayStation 4",84,18,8.4,"ALTO",2016-03-22,"Adventure/Point-and-Click","Adventure",1,"metascore"
"ZEN Pinball 2: South Park: Super-Sweet Pinball","PlayStation 4",84,13,8.4,"ALTO",2014-10-14,"Action/Miscellaneous/Parlor/Pinball","Action",1,"metascore"
"DiRT Rally 2.0","PlayStation 4",84,34,8.4,"ALTO",2019-02-26,"Racing/Simulation/Automobile","Racing",0,"metascore"
"Deus Ex: Mankind Divided","PlayStation 4",84,59,8.4,"ALTO",2016-08-23,"Action Adventure/General","Action Adventure",0,"metascore"
"Thumper","PlayStation 4",84,40,8.4,"ALTO",2016-10-10,"Action/Rhythm/Music","Action",0,"metascore"
"Axiom Verge","PlayStation 4",84,61,8.4,"ALTO",2015-03-31,"Sci-Fi/Action Adventure/General","Sci-Fi",1,"metascore"
"Polybius","PlayStation 4",84,13,8.4,"ALTO",2017-05-09,"Action/Shooter/Rail","Action",1,"metascore"
"Uncharted: The Lost Legacy","PlayStation 4",84,104,8.4,"ALTO",2017-08-22,"Action/Action Adventure/General","Action",1,"metascore"
"Wargroove","PlayStation 4",84,11,8.4,"ALTO",2019-07-23,"Strategy/Turn-Based/Tactics","Strategy",0,"metascore"
"SoulCalibur VI","PlayStation 4",84,78,8.4,"ALTO",2018-10-19,"Action/Fighting/3D","Action",0,"metascore"
"ZEN Pinball 2: Aliens Vs. Pinball","PlayStation 4",84,10,8.4,"ALTO",2016-04-26,"Action/Pinball","Action",1,"metascore"
"Hatsune Miku: Project Diva Future Tone - Colorful Tone","PlayStation 4",84,21,8.4,"ALTO",2017-01-10,"Action/Rhythm/Music","Action",1,"metascore"
"Hatsune Miku: Project Diva Future Tone - Future Sound","PlayStation 4",84,21,8.4,"ALTO",2017-01-10,"Action/Rhythm/Music","Action",1,"metascore"
"Resogun","PlayStation 4",84,66,8.4,"ALTO",2013-11-15,"Shooter/Scrolling/Action/Shooter/Scrolling/Shoot-'Em-Up/Horizontal","Shooter",1,"metascore"
"F1 2019","PlayStation 4",84,43,8.4,"ALTO",2019-06-25,"Racing/Simulation/Automobile","Racing",0,"metascore"
"Lara Croft GO","PlayStation 4",84,15,8.4,"ALTO",2016-12-03,"Strategy/Turn-Based/General","Strategy",1,"metascore"
"Oddworld: Abe's Oddysee - New 'n' Tasty","PlayStation 4",84,50,8.4,"ALTO",2014-07-22,"Platformer/2D/Action/Platformer/2D","Platformer",1,"metascore"
"Hitman - Episode 2: Sapienza","PlayStation 4",84,37,8.4,"ALTO",2016-04-26,"Action Adventure/General","Action Adventure",0,"metascore"
"BioShock: The Collection","PlayStation 4",84,39,8.4,"ALTO",2016-09-13,"Action/Miscellaneous/Shooter/Compilation/First-Person/Arcade","Action",0,"metascore"
"Hitman","PlayStation 4",84,40,8.4,"ALTO",2016-10-31,"Modern/Action Adventure/General","Modern",1,"metascore"
"FIFA 18","PlayStation 4",84,68,8.4,"ALTO",2017-09-26,"Sports/Team/Soccer/Sim","Sports",0,"metascore"
"Final Fantasy X / X-2 HD Remaster","PlayStation 4",84,30,8.4,"ALTO",2015-05-12,"Miscellaneous/Compilation","Miscellaneous",0,"metascore"
"Trine 2: Complete Story","PlayStation 4",84,9,8.4,"ALTO",2013-11-15,"Platformer/2D/Action/Platformer/2D","Platformer",1,"metascore"
"Assassin's Creed Origins: The Curse of the Pharaohs","PlayStation 4",83,15,8.3,"ALTO",2018-03-13,"Action Adventure/Open-World","Action Adventure",1,"metascore"
"DmC: Devil May Cry Definitive Edition","PlayStation 4",83,53,8.3,"ALTO",2015-03-10,"Fantasy/Action Adventure/General/Linear","Fantasy",0,"metascore"
"Disgaea 1 Complete","PlayStation 4",83,8,8.3,"ALTO",2018-10-09,"Strategy/Turn-Based/Tactics","Strategy",1,"metascore"
"Pro Evolution Soccer 2018","PlayStation 4",83,53,8.3,"ALTO",2017-09-12,"Sports/Team/Soccer/Sim","Sports",0,"metascore"
"Call of Duty: Black Ops 4","PlayStation 4",83,72,8.3,"ALTO",2018-10-12,"Action/Shooter/First-Person/Tactical","Action",0,"metascore"
"Guacamelee! 2","PlayStation 4",83,68,8.3,"ALTO",2018-08-21,"Action/Platformer/2D","Action",0,"metascore"
"FAR: Lone Sails","PlayStation 4",83,8,8.3,"ALTO",2019-04-02,"Action/Platformer/2D","Action",1,"metascore"
"Bloodstained: Ritual of the Night","PlayStation 4",83,54,8.3,"ALTO",2019-06-18,"Action/Platformer/2D/Role-Playing/Action RPG","Action",0,"metascore"
"Assassin's Creed IV: Black Flag","PlayStation 4",83,29,8.3,"ALTO",2013-11-12,"Action Adventure/Historic/Historic/Open-World","Action Adventure",1,"metascore"
"Crash Team Racing: Nitro-Fueled","PlayStation 4",83,75,8.3,"ALTO",2019-06-21,"Racing/Arcade/Automobile","Racing",0,"metascore"
"Kingdom Hearts III","PlayStation 4",83,88,8.3,"ALTO",2019-01-29,"Action RPG/Action Adventure/Fantasy/Role-Playing/Action RPG","Action RPG",0,"metascore"
