"name","plataform","metascore","metascore_reviews","userscore","userscore_reviews","release","genre","genero_principal","metascore_norm","metascore_cat","userscore_cat","diff_m_u","diff_m_u_abs","exclusivo"
"Beat Saber","PlayStation 4",86,24,8.2,142,2018-11-20,"Action/General","Action",8.6,"ALTO","ALTO",0.4,0.4,1
"Final Fantasy XIV: Heavensward","PlayStation 4",86,20,8.3,394,2015-06-23,"Massively Multiplayer Online/Fantasy/Role-Playing/Massively Multiplayer","Massively Multiplayer Online",8.6,"ALTO","ALTO",0.299999999999999,0.299999999999999,1
"Final Fantasy XIV Online: A Realm Reborn","PlayStation 4",86,35,7.3,666,2014-04-14,"Fantasy/Role-Playing/Massively Multiplayer Online/Massively Multiplayer/Fantasy","Fantasy",8.6,"ALTO","MEDIO",1.3,1.3,1
"Dragon Quest XI: Echoes of an Elusive Age","PlayStation 4",86,86,8.7,908,2018-09-04,"Role-Playing/Japanese-Style","Role-Playing",8.6,"ALTO","ALTO",-0.0999999999999996,0.0999999999999996,1
"Destiny: The Taken King","PlayStation 4",86,81,6.2,1098,2015-09-15,"Action/Shooter/First-Person/Arcade","Action",8.6,"ALTO","MEDIO",2.4,2.4,0
"Guilty Gear Xrd: Rev 2","PlayStation 4",86,35,8,103,2017-05-26,"Action/Fighting/2D","Action",8.6,"ALTO","ALTO",0.6,0.6,1
"OlliOlli2: Welcome to Olliwood","PlayStation 4",86,34,6.5,254,2015-03-03,"Sports/Alternative/Individual/Skateboarding/Skate / Skateboard","Sports",8.6,"ALTO","MEDIO",2.1,2.1,1
"Resogun: Heroes","PlayStation 4",86,10,7.3,99,2014-06-24,"Action/Shooter/Scrolling/Shoot-'Em-Up/Horizontal","Action",8.6,"ALTO","MEDIO",1.3,1.3,1
"DiRT Rally","PlayStation 4",85,46,7.9,289,2016-04-05,"Racing/Simulation/Automobile","Racing",8.5,"ALTO","ALTO",0.6,0.6,0
"Crypt of the NecroDancer","PlayStation 4",85,8,6.6,50,2016-02-02,"Role-Playing/General/Action RPG","Role-Playing",8.5,"ALTO","MEDIO",1.9,1.9,1
"The Outer Worlds","PlayStation 4",85,77,8,1351,2019-10-25,"Role-Playing/Western-Style","Role-Playing",8.5,"ALTO","ALTO",0.5,0.5,0
"Battlefield 4","PlayStation 4",85,18,7.1,2003,2013-11-12,"Action/Shooter/Shooter/First-Person/Modern/Modern/Arcade","Action",8.5,"ALTO","MEDIO",1.4,1.4,1
"Pillars of Eternity: Complete Edition","PlayStation 4",85,25,7.4,112,2017-08-29,"Role-Playing/Western-Style","Role-Playing",8.5,"ALTO","MEDIO",1.1,1.1,0
"DOOM","PlayStation 4",85,61,8.4,2326,2016-05-13,"Sci-Fi/Third-Person/Action/Shooter/First-Person/Arcade","Sci-Fi",8.5,"ALTO","ALTO",0.0999999999999996,0.0999999999999996,0
"NBA 2K14","PlayStation 4",85,20,6.5,385,2013-11-12,"Sports/Traditional/Team/Basketball/Sim/Sim","Sports",8.5,"ALTO","MEDIO",2,2,0
"Life is Strange","PlayStation 4",85,23,8.6,1769,2015-10-20,"Sci-Fi/Action Adventure/General","Sci-Fi",8.5,"ALTO","ALTO",-0.0999999999999996,0.0999999999999996,1
"Nioh: Bloodshed's End","PlayStation 4",85,8,7.6,58,2017-09-26,"Role-Playing/Action RPG","Role-Playing",8.5,"ALTO","ALTO",0.9,0.9,1
"Rocket League","PlayStation 4",85,50,8.4,1768,2015-07-07,"Racing/Futuristic/Sports/Team/Soccer/Arcade","Racing",8.5,"ALTO","ALTO",0.0999999999999996,0.0999999999999996,0
"Final Fantasy IX","PlayStation 4",85,14,8.5,339,2017-09-19,"Role-Playing/Japanese-Style","Role-Playing",8.5,"ALTO","ALTO",0,0,1
"VA-11 Hall-A: Cyberpunk Bartender Action","PlayStation 4",85,7,6.5,33,2019-05-02,"Simulation/General","Simulation",8.5,"ALTO","MEDIO",2,2,1
"DJMax Respect","PlayStation 4",85,11,7.8,47,2018-03-06,"Action/Rhythm/Music","Action",8.5,"ALTO","ALTO",0.7,0.7,1
"Pro Evolution Soccer 2017","PlayStation 4",85,62,7.3,610,2016-09-13,"Sports/Team/Soccer/Sim","Sports",8.5,"ALTO","MEDIO",1.2,1.2,0
"Resogun: Defenders","PlayStation 4",85,10,7.2,80,2015-02-17,"Action/Shooter/Shoot-'Em-Up/Horizontal","Action",8.5,"ALTO","MEDIO",1.3,1.3,1
"Ys VIII: Lacrimosa of DANA","PlayStation 4",85,39,8.4,235,2017-09-12,"Role-Playing/Action RPG","Role-Playing",8.5,"ALTO","ALTO",0.0999999999999996,0.0999999999999996,1
"Yakuza 0","PlayStation 4",85,87,8.5,1125,2017-01-24,"Action Adventure/Open-World","Action Adventure",8.5,"ALTO","ALTO",0,0,1
"MLB The Show 17","PlayStation 4",85,45,6.9,155,2017-03-28,"Sports/Team/Baseball/Sim","Sports",8.5,"ALTO","MEDIO",1.6,1.6,1
"Destiny 2","PlayStation 4",85,95,5,2380,2017-09-06,"Action/Shooter/First-Person/Arcade","Action",8.5,"ALTO","MEDIO",3.5,3.5,0
"Assault Android Cactus","PlayStation 4",85,20,6.3,43,2016-03-08,"General/Scrolling/Action/Shooter/Shoot-'Em-Up/Top-Down","General",8.5,"ALTO","MEDIO",2.2,2.2,0
"Super Mega Baseball","PlayStation 4",85,14,7.2,75,2014-12-16,"Traditional/Sports/Team/Baseball/Arcade","Traditional",8.5,"ALTO","MEDIO",1.3,1.3,1
"Yakuza Kiwami 2","PlayStation 4",85,69,8.3,293,2018-08-28,"Action Adventure/Open-World","Action Adventure",8.5,"ALTO","ALTO",0.199999999999999,0.199999999999999,1
"Rogue Legacy","PlayStation 4",85,22,7.7,259,2014-07-29,"Action/Platformer/Platformer/2D/2D","Action",8.5,"ALTO","ALTO",0.8,0.8,1
"Wipeout: Omega Collection","PlayStation 4",85,53,8,307,2017-06-06,"Racing/Arcade/Futuristic","Racing",8.5,"ALTO","ALTO",0.5,0.5,1
"Mortal Kombat XL","PlayStation 4",85,12,7.7,516,2016-03-01,"Action/Fighting/2D","Action",8.5,"ALTO","ALTO",0.8,0.8,1
"Geometry Wars 3: Dimensions","PlayStation 4",85,25,7.4,90,2014-11-25,"Action/Shooter/Static/Shoot-'Em-Up/Top-Down","Action",8.5,"ALTO","MEDIO",1.1,1.1,0
"Ratchet & Clank","PlayStation 4",85,101,8.5,2040,2016-04-12,"Action/Platformer/3D","Action",8.5,"ALTO","ALTO",0,0,1
"MLB The Show 16","PlayStation 4",85,37,7.3,184,2016-03-29,"Sports/Team/Baseball/Arcade/Sim","Sports",8.5,"ALTO","MEDIO",1.2,1.2,1
"Valkyria Chronicles 4","PlayStation 4",85,46,8.1,173,2018-09-25,"Strategy/Turn-Based/Tactics","Strategy",8.5,"ALTO","ALTO",0.4,0.4,1
"Far Cry 4","PlayStation 4",85,83,7.7,2209,2014-11-18,"Action/Shooter/First-Person/Modern/Arcade","Action",8.5,"ALTO","ALTO",0.8,0.8,0
"Moss","PlayStation 4",85,64,8,194,2018-02-27,"Action Adventure/General","Action Adventure",8.5,"ALTO","ALTO",0.5,0.5,1
"Tomb Raider: Definitive Edition","PlayStation 4",85,54,8.1,1614,2014-01-28,"Modern/Action Adventure/General/Modern/Linear","Modern",8.5,"ALTO","ALTO",0.4,0.4,0
"Shadow Tactics: Blades of the Shogun","PlayStation 4",85,16,8.2,94,2017-08-01,"Strategy/Real-Time/Tactics","Strategy",8.5,"ALTO","ALTO",0.300000000000001,0.300000000000001,1
"Super Meat Boy","PlayStation 4",85,7,6.9,161,2015-10-06,"Action/Platformer/2D","Action",8.5,"ALTO","MEDIO",1.6,1.6,1
"Pyre","PlayStation 4",85,48,7.9,161,2017-07-25,"Role-Playing/General","Role-Playing",8.5,"ALTO","ALTO",0.6,0.6,1
"FIFA 17","PlayStation 4",85,42,4.9,883,2016-09-27,"Sports/Team/Soccer/Sim","Sports",8.5,"ALTO","BAIXO",3.6,3.6,0
"DiRT 4","PlayStation 4",85,44,7.5,168,2017-06-06,"Racing/Simulation/Automobile","Racing",8.5,"ALTO","ALTO",1,1,0
"428: Shibuya Scramble","PlayStation 4",85,19,7.7,25,2018-09-04,"Action Adventure/General","Action Adventure",8.5,"ALTO","ALTO",0.8,0.8,1
"Gone Home: Console Edition","PlayStation 4",85,11,4.6,477,2016-01-12,"Adventure/3D/First-Person","Adventure",8.5,"ALTO","BAIXO",3.9,3.9,1
"Ni no Kuni II: Revenant Kingdom","PlayStation 4",84,84,7.5,813,2018-03-23,"Action RPG/Role-Playing/Japanese-Style","Action RPG",8.4,"ALTO","ALTO",0.9,0.9,1
"Statik","PlayStation 4",84,18,7.9,57,2017-04-24,"Adventure/3D/First-Person","Adventure",8.4,"ALTO","ALTO",0.5,0.5,1
"Valkyria Chronicles Remastered","PlayStation 4",84,58,8.1,221,2016-05-17,"Strategy/Turn-Based/Tactics","Strategy",8.4,"ALTO","ALTO",0.300000000000001,0.300000000000001,1
"F1 2018","PlayStation 4",84,41,7.8,93,2018-08-24,"Racing/Simulation/Automobile","Racing",8.4,"ALTO","ALTO",0.600000000000001,0.600000000000001,0
"Kingdom Hearts HD I.5 + II.5 Remix","PlayStation 4",84,35,8.9,543,2017-03-28,"Miscellaneous/Compilation","Miscellaneous",8.4,"ALTO","ALTO",-0.5,0.5,1
"Middle-earth: Shadow of Mordor","PlayStation 4",84,85,8,2421,2014-09-30,"Fantasy/Action Adventure/Fantasy/Open-World","Fantasy",8.4,"ALTO","ALTO",0.4,0.4,0
"Guilty Gear Xrd -SIGN-","PlayStation 4",84,33,7.9,216,2014-12-16,"Action/Fighting/2D","Action",8.4,"ALTO","ALTO",0.5,0.5,1
"BlazBlue: Central Fiction","PlayStation 4",84,22,7.7,96,2016-11-01,"Action/Fighting/2D","Action",8.4,"ALTO","ALTO",0.7,0.7,1
"Salt and Sanctuary","PlayStation 4",84,56,8.1,367,2016-03-15,"Action/Platformer/2D","Action",8.4,"ALTO","ALTO",0.300000000000001,0.300000000000001,0
"Dark Souls Remastered","PlayStation 4",84,53,7.6,812,2018-05-25,"Role-Playing/Action RPG","Role-Playing",8.4,"ALTO","ALTO",0.800000000000001,0.800000000000001,0
"Day of the Tentacle Remastered","PlayStation 4",84,18,7.3,137,2016-03-22,"Adventure/Point-and-Click","Adventure",8.4,"ALTO","MEDIO",1.1,1.1,1
"ZEN Pinball 2: South Park: Super-Sweet Pinball","PlayStation 4",84,13,6,28,2014-10-14,"Action/Miscellaneous/Parlor/Pinball","Action",8.4,"ALTO","MEDIO",2.4,2.4,1
