"name","plataform","metascore","metascore_reviews","userscore","userscore_reviews","release","genre","genero_principal","metascore_norm","metascore_cat","userscore_cat","diff_m_u","diff_m_u_abs","exclusivo"
"Shadow Tactics: Blades of the Shogun","PlayStation 4",85,16,8.2,94,2017-08-01,"Strategy/Real-Time/Tactics","Strategy",8.5,"ALTO","ALTO",0.300000000000001,0.300000000000001,1
"Super Meat Boy","PlayStation 4",85,7,6.9,161,2015-10-06,"Action/Platformer/2D","Action",8.5,"ALTO","MEDIO",1.6,1.6,1
"Pyre","PlayStation 4",85,48,7.9,161,2017-07-25,"Role-Playing/General","Role-Playing",8.5,"ALTO","ALTO",0.6,0.6,1
"428: Shibuya Scramble","PlayStation 4",85,19,7.7,25,2018-09-04,"Action Adventure/General","Action Adventure",8.5,"ALTO","ALTO",0.8,0.8,1
"Gone Home: Console Edition","PlayStation 4",85,11,4.6,477,2016-01-12,"Adventure/3D/First-Person","Adventure",8.5,"ALTO","BAIXO",3.9,3.9,1
"Ni no Kuni II: Revenant Kingdom","PlayStation 4",84,84,7.5,813,2018-03-23,"Action RPG/Role-Playing/Japanese-Style","Action RPG",8.4,"ALTO","ALTO",0.9,0.9,1
"Statik","PlayStation 4",84,18,7.9,57,2017-04-24,"Adventure/3D/First-Person","Adventure",8.4,"ALTO","ALTO",0.5,0.5,1
"Valkyria Chronicles Remastered","PlayStation 4",84,58,8.1,221,2016-05-17,"Strategy/Turn-Based/Tactics","Strategy",8.4,"ALTO","ALTO",0.300000000000001,0.300000000000001,1
"Kingdom Hearts HD I.5 + II.5 Remix","PlayStation 4",84,35,8.9,543,2017-03-28,"Miscellaneous/Compilation","Miscellaneous",8.4,"ALTO","ALTO",-0.5,0.5,1
"Guilty Gear Xrd -SIGN-","PlayStation 4",84,33,7.9,216,2014-12-16,"Action/Fighting/2D","Action",8.4,"ALTO","ALTO",0.5,0.5,1
"BlazBlue: Central Fiction","PlayStation 4",84,22,7.7,96,2016-11-01,"Action/Fighting/2D","Action",8.4,"ALTO","ALTO",0.7,0.7,1
"Day of the Tentacle Remastered","PlayStation 4",84,18,7.3,137,2016-03-22,"Adventure/Point-and-Click","Adventure",8.4,"ALTO","MEDIO",1.1,1.1,1
"ZEN Pinball 2: South Park: Super-Sweet Pinball","PlayStation 4",84,13,6,28,2014-10-14,"Action/Miscellaneous/Parlor/Pinball","Action",8.4,"ALTO","MEDIO",2.4,2.4,1
"Axiom Verge","PlayStation 4",84,61,7.8,196,2015-03-31,"Sci-Fi/Action Adventure/General","Sci-Fi",8.4,"ALTO","ALTO",0.600000000000001,0.600000000000001,1
"Polybius","PlayStation 4",84,13,7.2,53,2017-05-09,"Action/Shooter/Rail","Action",8.4,"ALTO","MEDIO",1.2,1.2,1
"Uncharted: The Lost Legacy","PlayStation 4",84,104,8,1678,2017-08-22,"Action/Action Adventure/General","Action",8.4,"ALTO","ALTO",0.4,0.4,1
"ZEN Pinball 2: Aliens Vs. Pinball","PlayStation 4",84,10,5.9,10,2016-04-26,"Action/Pinball","Action",8.4,"ALTO","MEDIO",2.5,2.5,1
"Hatsune Miku: Project Diva Future Tone - Colorful Tone","PlayStation 4",84,21,7.7,73,2017-01-10,"Action/Rhythm/Music","Action",8.4,"ALTO","ALTO",0.7,0.7,1
"Hatsune Miku: Project Diva Future Tone - Future Sound","PlayStation 4",84,21,7.5,74,2017-01-10,"Action/Rhythm/Music","Action",8.4,"ALTO","ALTO",0.9,0.9,1
"Resogun","PlayStation 4",84,66,7.7,1036,2013-11-15,"Shooter/Scrolling/Action/Shooter/Scrolling/Shoot-'Em-Up/Horizontal","Shooter",8.4,"ALTO","ALTO",0.7,0.7,1
"Lara Croft GO","PlayStation 4",84,15,5.7,58,2016-12-03,"Strategy/Turn-Based/General","Strategy",8.4,"ALTO","MEDIO",2.7,2.7,1
