"name","plataform","metascore","metascore_reviews","userscore","userscore_reviews","release","genre","genero_principal","metascore_norm","metascore_cat","userscore_cat","diff_m_u","diff_m_u_abs","exclusivo"
"Lovers in a Dangerous Spacetime","PlayStation 4",82,8,6.9,40,2016-02-09,"Action/Shooter/Shoot-'Em-Up/Horizontal","Action",8.2,"ALTO","MEDIO",1.3,1.3,0
"Child of Light","PlayStation 4",82,46,8,606,2014-04-29,"Action/General/General/Role-Playing/General","Action",8.2,"ALTO","ALTO",0.199999999999999,0.199999999999999,0
"The Walking Dead: The Telltale Definitive Series","PlayStation 4",82,10,7.3,75,2019-09-10,"Miscellaneous/Compilation","Miscellaneous",8.2,"ALTO","MEDIO",0.899999999999999,0.899999999999999,0
"NBA 2K19","PlayStation 4",82,49,2.7,442,2018-09-07,"Sports/Team/Basketball/Arcade/Sim","Sports",8.2,"ALTO","BAIXO",5.5,5.5,0
"SteamWorld Dig","PlayStation 4",82,18,7.3,188,2014-03-18,"Action/Action Adventure/General/Platformer/2D","Action",8.2,"ALTO","MEDIO",0.899999999999999,0.899999999999999,0
"Tekken 7","PlayStation 4",82,78,6.5,701,2017-06-02,"Action/Fighting/3D","Action",8.2,"ALTO","MEDIO",1.7,1.7,0
"Mega Man 11","PlayStation 4",82,52,8.3,194,2018-10-02,"Action/Platformer/2D","Action",8.2,"ALTO","ALTO",-0.100000000000001,0.100000000000001,0
"FIFA 15","PlayStation 4",82,47,5.7,1078,2014-09-23,"Sports/Traditional/Team/Soccer/Sim","Sports",8.2,"ALTO","MEDIO",2.5,2.5,0
"Burnout Paradise Remastered","PlayStation 4",82,39,6.9,153,2018-03-16,"Racing/Arcade/Automobile","Racing",8.2,"ALTO","MEDIO",1.3,1.3,0
"A Plague Tale: Innocence","PlayStation 4",81,61,8.5,878,2019-05-14,"Action Adventure/General/Linear","Action Adventure",8.1,"ALTO","ALTO",-0.4,0.4,0
"The Elder Scrolls V: Skyrim Special Edition","PlayStation 4",81,40,7.5,807,2016-10-28,"Role-Playing/Western-Style","Role-Playing",8.1,"ALTO","ALTO",0.6,0.6,0
"Madden NFL 15","PlayStation 4",81,37,6,219,2014-08-26,"Sports/Traditional/Team/Football/Sim","Sports",8.1,"ALTO","MEDIO",2.1,2.1,0
"Hellblade: Senua's Sacrifice","PlayStation 4",81,68,7.9,1252,2017-08-08,"Fantasy/Action Adventure/General","Fantasy",8.1,"ALTO","ALTO",0.199999999999999,0.199999999999999,0
"Plants vs Zombies: Garden Warfare 2","PlayStation 4",81,29,7.7,221,2016-02-23,"General/Action/Shooter/Third-Person/Tactical","General",8.1,"ALTO","ALTO",0.399999999999999,0.399999999999999,0
"Trackmania Turbo","PlayStation 4",81,52,7.5,193,2016-03-22,"Racing/Arcade/Automobile","Racing",8.1,"ALTO","ALTO",0.6,0.6,0
"Life is Strange: Episode 3 - Chaos Theory","PlayStation 4",81,33,8.2,233,2015-05-19,"Action Adventure/General","Action Adventure",8.1,"ALTO","ALTO",-0.0999999999999996,0.0999999999999996,0
"Overcooked! 2","PlayStation 4",81,37,8.1,78,2018-08-07,"Action/Arcade","Action",8.1,"ALTO","ALTO",0,0,0
"Skylanders SuperChargers","PlayStation 4",81,51,3.6,34,2015-09-20,"Action/Platformer/3D","Action",8.1,"ALTO","BAIXO",4.5,4.5,0
