"name","plataform","metascore","metascore_reviews","userscore","userscore_reviews","release","genre","genero_principal","metascore_norm","metascore_cat","userscore_cat","diff_m_u","diff_m_u_abs","exclusivo"
"Little Nightmares","Xbox One",83,22,7.8,62,2017-04-28,"Action Adventure/General/Linear","Action Adventure",8.3,"ALTO","ALTO",0.500000000000001,0.500000000000001,0
"A Plague Tale: Innocence","Xbox One",83,22,8.4,320,2019-05-14,"Action Adventure/General/Linear","Action Adventure",8.3,"ALTO","ALTO",-0.0999999999999996,0.0999999999999996,0
"Spyro Reignited Trilogy","Xbox One",83,19,7.2,140,2018-11-13,"Miscellaneous/Compilation","Miscellaneous",8.3,"ALTO","MEDIO",1.1,1.1,0
"FIFA 19","Xbox One",83,25,2.3,239,2018-09-25,"Sports/Team/Soccer/Sim","Sports",8.3,"ALTO","BAIXO",6,6,0
"Owlboy","Xbox One",83,12,6.3,19,2018-04-10,"Action Adventure/General","Action Adventure",8.3,"ALTO","MEDIO",2,2,0
"OlliOlli2: XL Edition","Xbox One",83,12,6.4,7,2016-05-24,"Sports/Individual/Skate / Skateboard","Sports",8.3,"ALTO","MEDIO",1.9,1.9,1
"Yoku's Island Express","Xbox One",83,29,7.7,27,2018-05-29,"Action/Pinball","Action",8.3,"ALTO","ALTO",0.600000000000001,0.600000000000001,0
"Warhammer: Vermintide 2","Xbox One",83,15,5.6,14,2018-07-11,"Action/Shooter/First-Person/Arcade","Action",8.3,"ALTO","MEDIO",2.7,2.7,1
"Batman: The Telltale Series - Episode 2: Children of Arkham","Xbox One",83,8,6.7,16,2016-09-20,"Adventure/Point-and-Click","Adventure",8.3,"ALTO","MEDIO",1.6,1.6,0
"SOMA","Xbox One",82,14,8.3,38,2017-12-01,"Action Adventure/Survival","Action Adventure",8.2,"ALTO","ALTO",-0.100000000000001,0.100000000000001,0
"Gears of War: Ultimate Edition","Xbox One",82,74,7.7,716,2015-08-25,"Action/Shooter/Third-Person/Arcade","Action",8.2,"ALTO","ALTO",0.499999999999999,0.499999999999999,1
"Super Hydorah","Xbox One",82,7,6.9,8,2017-09-20,"Action/Shooter/Shoot-'Em-Up/Horizontal","Action",8.2,"ALTO","MEDIO",1.3,1.3,1
"Stealth Inc 2: A Game of Clones","Xbox One",82,7,6.9,10,2015-04-03,"Action/Platformer/2D","Action",8.2,"ALTO","MEDIO",1.3,1.3,0
"The Sexy Brutale","Xbox One",82,13,7.1,13,2017-04-11,"Adventure/General","Adventure",8.2,"ALTO","MEDIO",1.1,1.1,0
"Child of Light","Xbox One",82,32,7.7,272,2014-04-30,"Action/General/General/Role-Playing/General","Action",8.2,"ALTO","ALTO",0.499999999999999,0.499999999999999,0
"Shadow of the Tomb Raider","Xbox One",82,56,7.3,497,2018-09-12,"Action Adventure/General","Action Adventure",8.2,"ALTO","MEDIO",0.899999999999999,0.899999999999999,0
"Forza Horizon 2: Storm Island","Xbox One",82,19,7.5,94,2014-12-16,"Driving/GT / Street/Racing/Simulation/Automobile","Driving",8.2,"ALTO","ALTO",0.699999999999999,0.699999999999999,1
"Geometry Wars 3: Dimensions","Xbox One",82,27,7.7,40,2014-11-26,"Action/Shooter/Static/Shoot-'Em-Up/Top-Down","Action",8.2,"ALTO","ALTO",0.499999999999999,0.499999999999999,0
"RiME","Xbox One",82,18,7.4,82,2017-05-26,"Action/Adventure/General/3D/Third-Person","Action",8.2,"ALTO","MEDIO",0.799999999999999,0.799999999999999,0
"Blazing Chrome","Xbox One",82,8,7.8,22,2019-07-11,"Action/Platformer/2D","Action",8.2,"ALTO","ALTO",0.399999999999999,0.399999999999999,0
"Operencia: The Stolen Sun","Xbox One",82,15,7.1,31,2019-03-29,"Role-Playing/Action RPG","Role-Playing",8.2,"ALTO","MEDIO",1.1,1.1,1
"NHL 19","Xbox One",82,20,6,57,2018-09-11,"Sports/Team/Ice Hockey/Sim","Sports",8.2,"ALTO","MEDIO",2.2,2.2,0
